s0,m00,n00,k00,h00,A10_x,A10_y,A20_x,A20_y,A30_x,A30_y,A40_x,A40_y,s,m0,n0,k0,h0,A1_x,A1_y,A2_x,A2_y,A3_x,A3_y,A4_x,A4_y
10.0,1.0,1.0,1.25,1.25,-0.0544103200973601,1.8153784947775926,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930473,0.943274,1.21562,1.24217,0.0408519,1.84033,1.15522,1.84593,0.0412633,0.0126204,1.19666,-0.00156222
10.0,1.0,1.0,1.25,1.25,-0.025927917264155945,1.8000741434902492,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930307,0.94344,1.2157,1.24209,0.0416685,1.83989,1.15604,1.84548,0.0420799,0.0121746,1.19747,-0.00200804
10.0,1.0,1.0,1.25,1.25,0.027742110416160693,1.7623724087285695,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930332,0.943414,1.21569,1.2421,0.04331,1.83875,1.15768,1.84435,0.0437214,0.0110378,1.19912,-0.0031448
10.0,1.0,1.0,1.25,1.25,-0.009755918995755333,1.8003550516559739,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930456,0.94329,1.21563,1.24217,0.0421876,1.83989,1.15656,1.84549,0.042599,0.0121802,1.19799,-0.00200242
10.0,1.0,1.0,1.25,1.25,0.048345692555238975,1.8481713048706263,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930323,0.943423,1.2157,1.2421,0.0439468,1.84136,1.15832,1.84696,0.0443581,0.0136466,1.19975,-0.000535986
10.0,1.0,1.0,1.25,1.25,-0.03004892618045469,1.865377807641384,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930217,0.943529,1.21575,1.24205,0.0415712,1.84185,1.15594,1.84745,0.0419826,0.0141441,1.19738,-3.84796e-05
10.0,1.0,1.0,1.25,1.25,0.07326357953763471,1.885748063120019,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930415,0.943331,1.21565,1.24215,0.0446965,1.84248,1.15907,1.84808,0.0451079,0.0147731,1.2005,0.000590497
10.0,1.0,1.0,1.25,1.25,0.03172685880948483,1.870128637889115,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930248,0.943498,1.21573,1.24206,0.0434426,1.84201,1.15781,1.84761,0.0438539,0.0142971,1.19925,0.000114557
10.0,1.0,1.0,1.25,1.25,0.058653200265301124,1.9311588715364643,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930321,0.943425,1.2157,1.2421,0.044255,1.84386,1.15862,1.84946,0.0446664,0.0161532,1.20006,0.00197061
10.0,1.0,1.0,1.25,1.25,0.04937648647567381,1.9309432557525688,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930381,0.943366,1.21567,1.24213,0.0439729,1.84386,1.15834,1.84946,0.0443842,0.0161459,1.19978,0.0019633
10.0,1.0,1.0,1.25,1.25,0.08158637428051747,1.8803211280947174,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93032,0.943427,1.2157,1.2421,0.0449485,1.84232,1.15932,1.84792,0.0453599,0.0146098,1.20075,0.000427206
10.0,1.0,1.0,1.25,1.25,0.030065842216182904,1.8991264385543256,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930304,0.943442,1.21571,1.24209,0.0433875,1.84289,1.15776,1.84849,0.0437989,0.0151812,1.19919,0.000998562
10.0,1.0,1.0,1.25,1.25,-0.054178915602878554,1.829475487868144,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930077,0.943669,1.21582,1.24198,0.0408346,1.84077,1.1552,1.84636,0.041246,0.0130543,1.19664,-0.00112831
10.0,1.0,1.0,1.25,1.25,0.025358824371576806,1.9448223236513453,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93037,0.943376,1.21567,1.24212,0.0432358,1.84428,1.1576,1.84988,0.0436471,0.016571,1.19904,0.0023884
10.0,1.0,1.0,1.25,1.25,-0.06686322735916576,1.7993808825553679,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930527,0.943219,1.21559,1.2422,0.0404331,1.83991,1.1548,1.84551,0.0408445,0.012196,1.19624,-0.00198662
10.0,1.0,1.0,1.25,1.25,-0.039465446746582276,1.8945581178557647,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930887,0.94286,1.21541,1.24238,0.0412845,1.84273,1.15565,1.84833,0.0416959,0.0150163,1.19709,0.000833748
10.0,1.0,1.0,1.25,1.25,-0.05019170974076881,1.8352780476642847,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.929989,0.943758,1.21586,1.24193,0.0409398,1.84097,1.15531,1.84657,0.0413511,0.0132604,1.19675,-0.000922173
10.0,1.0,1.0,1.25,1.25,0.04187617950611604,1.7695840439170707,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93022,0.943526,1.21575,1.24205,0.0437458,1.83896,1.15811,1.84456,0.0441572,0.0112491,1.19955,-0.00293348
10.0,1.0,1.0,1.25,1.25,-0.04155703718339048,1.8832028807869186,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930434,0.943312,1.21564,1.24216,0.0412231,1.8424,1.15559,1.848,0.0416344,0.0146932,1.19703,0.000510565
10.0,1.0,1.0,1.25,1.25,-0.08277317813510227,1.8682883214038193,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930311,0.943436,1.2157,1.24209,0.0399765,1.84198,1.15435,1.84758,0.0403879,0.0142688,1.19578,8.6188e-05
10.0,1.0,1.0,1.25,1.25,-0.04904903617939923,1.9039156316863062,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93011,0.943636,1.2158,1.24199,0.0409756,1.84303,1.15534,1.84863,0.0413869,0.0153231,1.19678,0.00114051
10.0,1.0,1.0,1.25,1.25,-0.07605131009907133,1.9015261660440064,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93021,0.943536,1.21575,1.24204,0.0401537,1.84297,1.15452,1.84856,0.0405651,0.0152555,1.19596,0.00107286
10.0,1.0,1.0,1.25,1.25,-0.07426487065534661,1.9224162893657517,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930224,0.943522,1.21575,1.24205,0.0402285,1.84363,1.1546,1.84922,0.0406399,0.0159149,1.19603,0.00173225
10.0,1.0,1.0,1.25,1.25,0.09617320019962136,1.8506504864798168,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930315,0.943432,1.2157,1.2421,0.04539,1.84143,1.15976,1.84703,0.0458014,0.0137206,1.2012,-0.00046198
10.0,1.0,1.0,1.25,1.25,0.00932038691624576,1.8905394964952007,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930575,0.943171,1.21557,1.24223,0.0427644,1.84261,1.15713,1.84821,0.0431757,0.0148995,1.19857,0.000716856
10.0,1.0,1.0,1.25,1.25,0.08032155221001654,1.8121892541825453,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930147,0.9436,1.21578,1.24201,0.0449239,1.84027,1.15929,1.84587,0.0453353,0.0125627,1.20073,-0.0016199
10.0,1.0,1.0,1.25,1.25,-0.04283192914940002,1.8152731590663196,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930419,0.943327,1.21565,1.24215,0.0411841,1.84036,1.15555,1.84596,0.0415954,0.012652,1.19699,-0.00153059
10.0,1.0,1.0,1.25,1.25,0.02907187088888132,1.7900992496454438,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930342,0.943404,1.21569,1.24211,0.0433587,1.8396,1.15773,1.8452,0.0437701,0.0118912,1.19916,-0.00229139
10.0,1.0,1.0,1.25,1.25,-0.06067203013664874,1.8883006740760266,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930267,0.943479,1.21572,1.24207,0.0406483,1.84256,1.15502,1.84816,0.0410598,0.0148466,1.19645,0.000664032
10.0,1.0,1.0,1.25,1.25,0.06405538024850163,1.8160988545350443,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.93041,0.943336,1.21565,1.24214,0.0444227,1.84039,1.15879,1.84599,0.0448341,0.0126765,1.20023,-0.00150609
10.0,1.0,1.0,1.25,1.25,0.015309637183060826,1.894150984253279,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930348,0.943398,1.21568,1.24211,0.0429431,1.84272,1.15731,1.84832,0.0433544,0.0150092,1.19875,0.000826615
10.0,1.0,1.0,1.25,1.25,-0.0009737853451671495,1.8535257051852965,1.185,1.769,0.0,0.0,1.136,-0.004,1.01389,0.930459,0.943288,1.21563,1.24217,0.0424388,1.84152,1.15681,1.84712,0.0428502,0.0138061,1.19825,-0.000376502
